Data;"IBRX
IBRX BRASIL INDICE"
03/2002;3.404,00
02/2002;3.440,00
01/2002;3.089,00
12/2001;3.182,00
11/2001;3.030,17
10/2001;2.830,81
09/2001;2.665,64
08/2001;3.113,23
07/2001;3.260,91
06/2001;3.368,37
05/2001;3.418,81
04/2001;3.358,95
03/2001;3.197,23
02/2001;3.410,22
01/2001;3.683,92
12/2000;3.211,76
11/2000;2.828,69
10/2000;3.080,34
09/2000;3.249,19
08/2000;3.442,30
07/2000;3.226,32
06/2000;3.282,30
05/2000;2.894,71
04/2000;2.959,84
03/2000;3.349,99
02/2000;3.280,22
01/2000;3.117,78
12/1999;3.238,35
11/1999;2.639,54
10/1999;2.273,94
09/1999;2.148,70
08/1999;2.018,02
07/1999;1.990,28
06/1999;2.151,12
05/1999;2.056,95
04/1999;2.065,03
03/1999;1.918,31
02/1999;1.617,21
01/1999;1.492,77
12/1998;1.275,13
11/1998;1.573,08
10/1998;1.298,15
09/1998;1.229,51
08/1998;1.246,25
07/1998;2.042,38
06/1998;1.849,24
05/1998;1.937,43
04/1998;2.301,69
03/1998;2.317,67
02/1998;2.063,93
01/1998;1.915,99
12/1997;2.049,68
11/1997;1.889,52
10/1997;1.826,11
09/1997;2.416,03
08/1997;2.191,97
07/1997;2.577,36
06/1997;2.476,04
05/1997;2.232,51
04/1997;2.040,10
03/1997;1.889,89
02/1997;1.904,12
01/1997;1.723,54
12/1996;1.540,83
11/1996;1.429,82
10/1996;1.420,54
09/1996;1.380,92
08/1996;1.353,69
07/1996;1.317,65
06/1996;1.324,76
05/1996;1.262,51
04/1996;1.151,78
03/1996;1.127,23
02/1996;1.134,71
01/1996;1.181,07
12/1995;1.000,00
11/1995;1.010,23
10/1995;1.000,33
09/1995;1.102,27
08/1995;1.086,25
07/1995;995,36
06/1995;924,85
05/1995;960,36
04/1995;969,75
03/1995;801,07
02/1995;871,39
01/1995;997,51
12/1994;1.092,52
;
